CONTIG_NAME	PLOIDY_PRIOR_0	PLOIDY_PRIOR_1	PLOIDY_PRIOR_2	PLOIDY_PRIOR_3
1	0.0	0.00001	0.99998	0.00001
2	0.0	0.00001	0.99998	0.00001
3	0.0	0.00001	0.99998	0.00001
4	0.0	0.00001	0.99998	0.00001
5	0.0	0.00001	0.99998	0.00001
6	0.0	0.00001	0.99998	0.00001
7	0.0	0.00001	0.99998	0.00001
8	0.0	0.001	0.998	0.001
9	0.0	0.001	0.998	0.001
10	0.0	0.00001	0.99998	0.00001
11	0.0	0.00001	0.99998	0.00001
12	0.0	0.00001	0.99998	0.00001
13	0.0	0.001	0.998	0.001
14	0.0	0.00001	0.99998	0.00001
15	0.0	0.00001	0.99998	0.00001
16	0.0	0.00001	0.99998	0.00001
17	0.0	0.00001	0.99998	0.00001
18	0.0	0.001	0.998	0.001
19	0.0	0.00001	0.99998	0.00001
20	0.0	0.00001	0.99998	0.00001
21	0.0	0.005	0.99	0.005
22	0.0	0.001	0.998	0.001
X	0.01	0.49	0.49	0.01
Y	0.495	0.495	0.01	0.0
